Feature,Modality,Mean_Abs_SHAP
EXOSC3,Gene,0.042954
ACSL4,Gene,0.042834
3rd-Ventricle,MRI,0.042741
DDX3X,Gene,0.042164
non-WM-hypointensities,MRI,0.041446
IL6ST,Gene,0.040744
TIPARP,Gene,0.040524
MFSD1,Gene,0.040473
BAZ2B,Gene,0.040348
VBP1.1,Gene,0.040302
CD58,Gene,0.039973
TBC1D15,Gene,0.039898
PAIP2,Gene,0.039824
GCA,Gene,0.039495
UBL3,Gene,0.039044
ETFRF1,Gene,0.038801
IFNGR1,Gene,0.038404
SSR1,Gene,0.038134
CMTM6,Gene,0.038073
TMEM123,Gene,0.037993
CDC40,Gene,0.037634
Left-choroid-plexus,MRI,0.037628
NCOA7,Gene,0.037469
Left-Lateral-Ventricle,MRI,0.037199
FBXO11.1,Gene,0.037154
SMG1,Gene,0.036836
lh_inferiortemporal_thickness,MRI,0.036593
PPP2CA,Gene,0.036337
Right-Putamen,MRI,0.036123
PPP2CA.1,Gene,0.034781
TMED2,Gene,0.034657
Left-Putamen,MRI,0.034647
IRAK3,Gene,0.034527
CPNE3,Gene,0.034474
SupraTentorialVolNotVentVox,MRI,0.034421
VPS29,Gene,0.034381
lhSurfaceHoles,MRI,0.034053
GMFB,Gene,0.033996
SupraTentorialVolNotVent,MRI,0.033606
rhCortexVol,MRI,0.033593
CSF,MRI,0.033245
GOLGA7,Gene,0.033108
ATP6V1G1,Gene,0.032439
GLRX3,Gene,0.032034
rh_caudalmiddlefrontal_thickness,MRI,0.031936
CortexVol,MRI,0.031573
CorticalWhiteMatterVol,MRI,0.031051
SELENOF,Gene,0.030776
TP53INP1,Gene,0.030701
BTAF1,Gene,0.030475
ARK2N,Gene,0.029512
SLC40A1,Gene,0.029145
ACAP2,Gene,0.028886
lh_supramarginal_thickness,MRI,0.028849
MARCHF7,Gene,0.028719
HMGN4,Gene,0.02865
lhCortexVol,MRI,0.028438
BCLAF1,Gene,0.02841
PTEN.1,Gene,0.027944
PAPOLA,Gene,0.027318
lh_isthmuscingulate_thickness,MRI,0.026786
PUM2,Gene,0.0267
EFR3A,Gene,0.026389
CGGBP1,Gene,0.026164
BrainSegVolNotVent,MRI,0.026085
MS4A6A.1,Gene,0.026014
CC_Anterior,MRI,0.025848
rh_entorhinal_thickness,MRI,0.025709
RAB11A,Gene,0.025692
FBXO11,Gene,0.025664
BrainSegVolNotVentSurf,MRI,0.025532
SupraTentorialVol,MRI,0.024931
TMEM71,Gene,0.024805
SP3,Gene,0.024549
CC_Central,MRI,0.02427
ZRANB2,Gene,0.023988
SurfaceHoles,MRI,0.023938
lh_transversetemporal_thickness,MRI,0.023637
CYBRD1.1,Gene,0.023565
CLIC1,Gene,0.022466
SPTLC1.1,Gene,0.022091
4th-Ventricle,MRI,0.022043
ASNSD1,Gene,0.021988
RHEB,Gene,0.021956
DICER1,Gene,0.021867
Left-Hippocampus,MRI,0.021505
