Feature,Modality,Mean_Abs_SHAP
MTIF3,Gene,0.022251
lh_pericalcarine_thickness,MRI,0.021757
BTF3,Gene,0.021641
ATP6V1D,Gene,0.021476
lh_medialorbitofrontal_thickness,MRI,0.021014
lh_parsopercularis_thickness,MRI,0.020895
PSMC2,Gene,0.020663
ENY2,Gene,0.020641
ATP5PD.1,Gene,0.020495
TXN.1,Gene,0.020271
TRAPPC4,Gene,0.020019
SEC61G,Gene,0.019826
EEF1D,Gene,0.019795
ATP5PO,Gene,0.01962
SEM1,Gene,0.019467
Right-Lateral-Ventricle,MRI,0.019202
Right-Thalamus-Proper,MRI,0.019142
HYCC2,Gene,0.019119
PWP1,Gene,0.019102
AK2,Gene,0.019051
IGBP1,Gene,0.018843
TOMM7.1,Gene,0.018828
MYL12B,Gene,0.018631
ZMAT2,Gene,0.018605
Brain-Stem,MRI,0.018541
lh_isthmuscingulate_thickness,MRI,0.018364
ATP6V1E1,Gene,0.018051
SSB,Gene,0.01802
rh_postcentral_thickness,MRI,0.0179
EXOSC9,Gene,0.017395
TMSB10,Gene,0.017344
rh_bankssts_thickness,MRI,0.017223
DNAJA1,Gene,0.017169
rh_caudalanteriorcingulate_thickness,MRI,0.016901
NSMCE1,Gene,0.016885
HSPE1,Gene,0.016775
ATP5F1EP2,Gene,0.016653
NOL7,Gene,0.016273
Right-Inf-Lat-Vent,MRI,0.015913
lhSurfaceHoles,MRI,0.015868
SNRPD2,Gene,0.015709
RAB37,Gene,0.015427
Left-choroid-plexus,MRI,0.015358
rh_lateralorbitofrontal_thickness,MRI,0.014919
Right-Cerebellum-White-Matter,MRI,0.014733
OCIAD2,Gene,0.014715
RBMS1,Gene,0.014697
RPL24,Gene,0.014555
rh_superiortemporal_thickness,MRI,0.014394
MYL6.1,Gene,0.01439
TRAPPC2L,Gene,0.014247
PSMC3,Gene,0.013955
MYL6,Gene,0.013946
EstimatedTotalIntraCranialVol,MRI,0.013429
KCTD12,Gene,0.013371
HSP90AA1.1,Gene,0.013351
CBX3,Gene,0.013138
RPL26,Gene,0.012889
PFDN5,Gene,0.012616
DICER1,Gene,0.012472
GTF2B,Gene,0.012392
lh_rostralmiddlefrontal_thickness,MRI,0.011983
SNRPB2,Gene,0.011892
RPL35A,Gene,0.011706
MRPL51,Gene,0.011522
COX17,Gene,0.011479
lhCorticalWhiteMatterVol,MRI,0.011185
CC_Posterior,MRI,0.011102
PFDN5.1,Gene,0.011084
AIF1.1,Gene,0.010997
rh_lingual_thickness,MRI,0.010955
RPS27A,Gene,0.010934
NEDD8.1,Gene,0.0109
NGRN,Gene,0.010805
RPAIN.1,Gene,0.010511
Right-Amygdala,MRI,0.009782
PRMT1,Gene,0.009713
PPIAP29,Gene,0.009712
TMEM258,Gene,0.009444
PSMA3,Gene,0.009296
PDHB,Gene,0.009292
Right-Cerebellum-Cortex,MRI,0.009214
ARPC3,Gene,0.009089
SupraTentorialVolNotVentVox,MRI,0.008723
ATP5PF.1,Gene,0.008715
rh_parsopercularis_thickness,MRI,0.008658
rh_precuneus_thickness,MRI,0.00864
SupraTentorialVolNotVent,MRI,0.008366
OARD1,Gene,0.008362
5th-Ventricle,MRI,0.007969
RPL6,Gene,0.007817
rh_fusiform_thickness,MRI,0.007405
WDR33,Gene,0.007222
NDUFA9,Gene,0.007006
lh_MeanThickness_thickness,MRI,0.006904
SupraTentorialVol,MRI,0.006899
BTF3.1,Gene,0.006763
Optic-Chiasm,MRI,0.00676
LDHB,Gene,0.006737
PRDX1.1,Gene,0.006642
rh_posteriorcingulate_thickness,MRI,0.006411
ATP5MF,Gene,0.006401
rh_MeanThickness_thickness,MRI,0.006275
rhSurfaceHoles,MRI,0.00612
BrainSegVolNotVentSurf,MRI,0.0061
BrainSegVolNotVent,MRI,0.005855
RPL11,Gene,0.005806
lh_supramarginal_thickness,MRI,0.005798
POMP,Gene,0.005625
WASHC3,Gene,0.005335
SYF2,Gene,0.005315
GTF2H5,Gene,0.005013
PSMB6,Gene,0.004878
MRPS21,Gene,0.004795
NGDN,Gene,0.004678
ISY1,Gene,0.004413
BrainSegVol,MRI,0.004329
SurfaceHoles,MRI,0.004251
lh_middletemporal_thickness,MRI,0.003829
SRP14P1,Gene,0.003776
NEDD8,Gene,0.003724
SNRPB2.1,Gene,0.003639
CDC26,Gene,0.003626
rh_inferiorparietal_thickness,MRI,0.003558
COMMD1,Gene,0.003044
CD3D,Gene,0.003041
TMA7,Gene,0.002564
RPS25,Gene,0.002183
HSPA8.1,Gene,0.001937
DRG1,Gene,0.001508
rh_pericalcarine_thickness,MRI,0.001424
EEF1B2.1,Gene,0.001383
TOMM7,Gene,0.001345
lh_lateraloccipital_thickness,MRI,0.000917
ATP5PD,Gene,0.000898
CCDC12,Gene,0.000606
RPL12,Gene,0.000521
Right-Pallidum,MRI,0.000503
PRDX1,Gene,0.000323
RPL36AL,Gene,0.000303
lh_precentral_thickness,MRI,5.4e-05
Left-WM-hypointensities,MRI,0.0
Right-WM-hypointensities,MRI,0.0
Left-non-WM-hypointensities,MRI,0.0
Right-non-WM-hypointensities,MRI,0.0
